jugador,posicion,arquetipo,semestre,edad,categoria,minutos,sprint_30m_s,salto_cm,yoyo_m,pase_pct,duelos_pct,nota,trimestre_nac
Jugador 05,Arquero,progresa,2025-I,16.9,Sub-17,1073,4.49,54.8,1442,79.9,52.9,"Buena actitud, mejorar toma de decisiones en último tercio.",4
Jugador 05,Arquero,progresa,2025-II,17.4,Sub-17,893,4.49,57.1,1594,79.8,54.1,"Buena actitud, mejorar toma de decisiones en último tercio.",4
Jugador 05,Arquero,progresa,2026-I,17.9,Sub-20,1102,4.45,57.9,1668,82.3,58.9,"Dificultades con la carga, revisar con fisioterapia.",4
Jugador 05,Arquero,progresa,2026-II,18.4,Sub-20,1083,4.46,60.1,1730,81.1,55.9,"Líder del grupo, rendimiento estable.",4
Jugador 06,Arquero,estable,2024-I,16.5,Sub-17,896,4.65,34.0,1414,63.0,32.2,Salto físico notable este semestre.,1
Jugador 06,Arquero,estable,2024-II,17.0,Sub-17,1013,4.58,35.0,1539,65.0,30.9,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 06,Arquero,estable,2025-I,17.5,Sub-17,828,4.59,35.2,1597,62.9,30.5,Listo para minutos en categoría superior.,1
Jugador 06,Arquero,estable,2025-II,18.0,Sub-20,789,4.63,38.2,1581,65.5,31.4,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 06,Arquero,estable,2026-I,18.5,Sub-20,569,4.56,37.6,1648,63.5,30.6,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 06,Arquero,estable,2026-II,19.0,Sub-20,1266,4.55,38.6,1752,64.2,30.5,"Líder del grupo, rendimiento estable.",1
Jugador 07,Arquero,tardio,2024-I,17.3,Sub-17,1225,4.64,46.0,1526,72.2,52.7,"Dificultades con la carga, revisar con fisioterapia.",4
Jugador 07,Arquero,tardio,2024-II,17.8,Sub-20,1074,4.6,46.8,1560,73.3,51.9,Salto físico notable este semestre.,4
Jugador 07,Arquero,tardio,2025-I,18.3,Sub-20,972,4.58,48.4,1595,73.4,49.6,Listo para minutos en categoría superior.,4
Jugador 07,Arquero,tardio,2025-II,18.8,Sub-20,1202,4.54,50.0,1775,73.7,50.3,Listo para minutos en categoría superior.,4
Jugador 07,Arquero,tardio,2026-I,19.3,Sub-20,1073,4.52,50.9,1850,74.2,51.2,"Irregular en entrenos, talento por encima del promedio.",4
Jugador 07,Arquero,tardio,2026-II,19.8,Sub-20,915,4.55,50.3,1780,76.4,50.5,"Dificultades con la carga, revisar con fisioterapia.",4
Jugador 08,Arquero,tardio,2024-I,17.6,Sub-20,1228,4.53,41.2,1309,74.6,58.6,Salto físico notable este semestre.,4
Jugador 08,Arquero,tardio,2024-II,18.1,Sub-20,1139,4.54,43.1,1392,74.5,59.9,"Líder del grupo, rendimiento estable.",4
Jugador 08,Arquero,tardio,2025-I,18.6,Sub-20,1452,4.56,44.3,1371,75.4,56.6,Salto físico notable este semestre.,4
Jugador 08,Arquero,tardio,2025-II,19.1,Sub-20,1300,4.55,45.2,1425,74.9,58.8,Salto físico notable este semestre.,4
Jugador 08,Arquero,tardio,2026-I,19.6,Sub-20,1290,4.6,46.7,1518,74.3,60.0,"Buena actitud, mejorar toma de decisiones en último tercio.",4
Jugador 08,Arquero,tardio,2026-II,20.1,Sub-20,998,4.5,46.4,1648,77.4,62.0,"Dificultades con la carga, revisar con fisioterapia.",4
Jugador 09,Lateral,progresa,2024-I,14.2,Sub-15,1053,4.34,37.0,1765,73.5,50.7,Salto físico notable este semestre.,3
Jugador 09,Lateral,progresa,2024-II,14.7,Sub-15,1130,4.39,38.1,1797,74.9,52.7,Salto físico notable este semestre.,3
Jugador 09,Lateral,progresa,2025-I,15.2,Sub-15,1259,4.38,42.2,1895,74.5,51.0,Listo para minutos en categoría superior.,3
Jugador 09,Lateral,progresa,2025-II,15.7,Sub-17,1545,4.33,43.9,1960,75.9,51.0,"Líder del grupo, rendimiento estable.",3
Jugador 09,Lateral,progresa,2026-I,16.2,Sub-17,1337,4.27,44.9,2076,75.4,53.4,"Líder del grupo, rendimiento estable.",3
Jugador 09,Lateral,progresa,2026-II,16.7,Sub-17,1150,4.29,44.8,2105,77.2,53.4,"Buena actitud, mejorar toma de decisiones en último tercio.",3
Jugador 10,Central,tardio,2024-I,15.5,Sub-17,759,4.52,39.9,1740,72.1,58.8,Salto físico notable este semestre.,1
Jugador 10,Central,tardio,2024-II,16.0,Sub-17,921,4.44,41.1,1827,72.9,57.9,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 10,Central,tardio,2025-I,16.5,Sub-17,953,4.4,43.0,1837,70.0,59.5,Listo para minutos en categoría superior.,1
Jugador 10,Central,tardio,2025-II,17.0,Sub-17,715,4.41,42.7,1890,73.0,58.7,Listo para minutos en categoría superior.,1
Jugador 10,Central,tardio,2026-I,17.5,Sub-20,890,4.47,43.8,2007,71.7,58.4,Listo para minutos en categoría superior.,1
Jugador 10,Central,tardio,2026-II,18.0,Sub-20,1385,4.41,45.9,2044,73.5,60.6,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 11,Central,estancado,2024-I,17.4,Sub-17,548,4.43,39.7,1636,78.7,42.6,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 11,Central,estancado,2024-II,17.9,Sub-20,938,4.4,38.4,1705,76.3,45.8,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 11,Central,estancado,2025-I,18.4,Sub-20,630,4.41,37.1,1765,76.9,43.1,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 11,Central,estancado,2025-II,18.9,Sub-20,637,4.4,39.2,1795,77.9,45.6,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 11,Central,estancado,2026-I,19.4,Sub-20,468,4.44,39.0,1783,75.6,40.7,Salto físico notable este semestre.,1
Jugador 11,Central,estancado,2026-II,19.9,Sub-20,667,4.43,40.2,1822,74.2,40.4,Salto físico notable este semestre.,1
Jugador 12,Volante,estable,2024-I,16.9,Sub-17,807,4.62,38.1,1459,72.1,36.1,Salto físico notable este semestre.,3
Jugador 12,Volante,estable,2024-II,17.4,Sub-17,703,4.6,38.0,1532,72.9,37.5,"Buena actitud, mejorar toma de decisiones en último tercio.",3
Jugador 12,Volante,estable,2025-I,17.9,Sub-20,735,4.61,38.5,1587,73.1,38.2,"Dificultades con la carga, revisar con fisioterapia.",3
Jugador 12,Volante,estable,2025-II,18.4,Sub-20,709,4.56,41.7,1631,73.2,35.6,"Buena actitud, mejorar toma de decisiones en último tercio.",3
Jugador 12,Volante,estable,2026-I,18.9,Sub-20,935,4.61,43.0,1670,71.3,39.4,Salto físico notable este semestre.,3
Jugador 12,Volante,estable,2026-II,19.4,Sub-20,395,4.57,41.4,1654,72.5,40.1,"Buena actitud, mejorar toma de decisiones en último tercio.",3
Jugador 13,Lateral,tardio,2024-I,15.0,Sub-15,911,4.6,37.9,1458,77.0,53.3,"Líder del grupo, rendimiento estable.",2
Jugador 13,Lateral,tardio,2024-II,15.5,Sub-17,1114,4.56,39.5,1530,75.3,50.2,Salto físico notable este semestre.,2
Jugador 13,Lateral,tardio,2025-I,16.0,Sub-17,941,4.55,39.2,1556,76.2,51.7,"Irregular en entrenos, talento por encima del promedio.",2
Jugador 13,Lateral,tardio,2025-II,16.5,Sub-17,575,4.51,42.9,1641,76.5,53.3,Salto físico notable este semestre.,2
Jugador 13,Lateral,tardio,2026-I,17.0,Sub-17,514,4.5,43.6,1708,79.7,55.3,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 13,Lateral,tardio,2026-II,17.5,Sub-20,1097,4.5,45.0,1714,78.0,55.2,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 14,Delantero,progresa,2024-I,16.4,Sub-17,1149,4.64,50.8,1370,73.5,47.8,"Buena actitud, mejorar toma de decisiones en último tercio.",3
Jugador 14,Delantero,progresa,2024-II,16.9,Sub-17,1266,4.59,54.4,1463,75.2,49.2,Listo para minutos en categoría superior.,3
Jugador 14,Delantero,progresa,2025-I,17.4,Sub-17,1348,4.51,54.5,1566,74.0,51.3,"Líder del grupo, rendimiento estable.",3
Jugador 14,Delantero,progresa,2025-II,17.9,Sub-20,1057,4.53,56.6,1671,75.0,50.3,Salto físico notable este semestre.,3
Jugador 14,Delantero,progresa,2026-I,18.4,Sub-20,1513,4.6,60.4,1713,76.9,54.0,"Líder del grupo, rendimiento estable.",3
Jugador 14,Delantero,progresa,2026-II,18.9,Sub-20,1191,4.49,60.4,1753,75.6,50.3,"Dificultades con la carga, revisar con fisioterapia.",3
Jugador 15,Delantero,progresa,2024-I,14.2,Sub-15,1153,4.55,46.8,1407,71.9,44.9,Salto físico notable este semestre.,1
Jugador 15,Delantero,progresa,2024-II,14.7,Sub-15,734,4.49,48.6,1599,74.2,44.4,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 15,Delantero,progresa,2025-I,15.2,Sub-15,1463,4.5,50.2,1622,74.6,46.3,"Líder del grupo, rendimiento estable.",1
Jugador 15,Delantero,progresa,2025-II,15.7,Sub-17,1074,4.56,53.8,1672,75.7,43.0,"Líder del grupo, rendimiento estable.",1
Jugador 15,Delantero,progresa,2026-I,16.2,Sub-17,1202,4.48,54.3,1712,73.8,47.3,Listo para minutos en categoría superior.,1
Jugador 15,Delantero,progresa,2026-II,16.7,Sub-17,1176,4.43,54.5,1788,73.9,49.3,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 16,Arquero,estable,2024-I,16.9,Sub-17,817,4.41,39.3,1495,74.0,37.9,Salto físico notable este semestre.,4
Jugador 16,Arquero,estable,2024-II,17.4,Sub-17,657,4.39,39.9,1619,76.9,40.1,Salto físico notable este semestre.,4
Jugador 16,Arquero,estable,2025-I,17.9,Sub-20,906,4.41,42.2,1589,74.6,37.8,"Irregular en entrenos, talento por encima del promedio.",4
Jugador 16,Arquero,estable,2025-II,18.4,Sub-20,713,4.43,40.6,1622,77.6,38.2,"Dificultades con la carga, revisar con fisioterapia.",4
Jugador 16,Arquero,estable,2026-I,18.9,Sub-20,760,4.44,43.4,1639,74.7,39.8,"Dificultades con la carga, revisar con fisioterapia.",4
Jugador 16,Arquero,estable,2026-II,19.4,Sub-20,837,4.47,42.9,1732,74.5,40.8,"Irregular en entrenos, talento por encima del promedio.",4
Jugador 17,Extremo,progresa,2024-I,13.6,Sub-15,1045,4.77,35.1,1735,70.7,45.0,"Buena actitud, mejorar toma de decisiones en último tercio.",4
Jugador 17,Extremo,progresa,2024-II,14.1,Sub-15,1087,4.8,40.2,1818,71.6,45.6,"Irregular en entrenos, talento por encima del promedio.",4
Jugador 17,Extremo,progresa,2025-I,14.6,Sub-15,873,4.78,39.5,1823,75.2,47.3,Listo para minutos en categoría superior.,4
Jugador 17,Extremo,progresa,2025-II,15.1,Sub-15,1228,4.75,42.3,1979,76.7,48.8,"Irregular en entrenos, talento por encima del promedio.",4
Jugador 17,Extremo,progresa,2026-I,15.6,Sub-17,1310,4.66,43.0,2043,76.4,46.8,"Dificultades con la carga, revisar con fisioterapia.",4
Jugador 17,Extremo,progresa,2026-II,16.1,Sub-17,1602,4.7,43.5,2061,76.7,49.5,Salto físico notable este semestre.,4
Jugador 18,Central,estable,2024-I,15.3,Sub-15,690,4.63,48.7,2094,68.9,45.7,Salto físico notable este semestre.,1
Jugador 18,Central,estable,2024-II,15.8,Sub-17,768,4.5,49.4,2143,69.3,47.1,Listo para minutos en categoría superior.,1
Jugador 18,Central,estable,2025-I,16.3,Sub-17,546,4.55,52.5,2228,69.2,46.1,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 18,Central,estable,2025-II,16.8,Sub-17,773,4.51,51.9,2310,69.7,49.3,"Líder del grupo, rendimiento estable.",1
Jugador 18,Central,estable,2026-I,17.3,Sub-17,803,4.58,53.0,2292,72.5,48.8,"Líder del grupo, rendimiento estable.",1
Jugador 18,Central,estable,2026-II,17.8,Sub-20,886,4.55,55.7,2324,67.6,47.4,Listo para minutos en categoría superior.,1
Jugador 19,Arquero,estable,2024-I,14.2,Sub-15,992,4.51,48.4,2014,78.4,52.6,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 19,Arquero,estable,2024-II,14.7,Sub-15,898,4.44,50.0,2070,77.9,49.9,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 19,Arquero,estable,2025-I,15.2,Sub-15,1146,4.37,50.9,2137,76.9,52.0,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 19,Arquero,estable,2025-II,15.7,Sub-17,810,4.44,54.4,2238,78.1,53.0,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 19,Arquero,estable,2026-I,16.2,Sub-17,1031,4.45,51.7,2245,78.4,54.1,"Líder del grupo, rendimiento estable.",1
Jugador 19,Arquero,estable,2026-II,16.7,Sub-17,1058,4.35,54.2,2278,78.7,52.9,Salto físico notable este semestre.,1
Jugador 20,Arquero,tardio,2024-I,13.7,Sub-15,1125,4.55,51.4,1483,69.1,50.8,"Irregular en entrenos, talento por encima del promedio.",2
Jugador 20,Arquero,tardio,2024-II,14.2,Sub-15,707,4.58,52.2,1611,70.3,49.8,"Buena actitud, mejorar toma de decisiones en último tercio.",2
Jugador 20,Arquero,tardio,2025-I,14.7,Sub-15,1100,4.55,52.7,1617,70.6,48.7,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 20,Arquero,tardio,2025-II,15.2,Sub-15,1007,4.54,53.1,1718,71.8,51.1,"Irregular en entrenos, talento por encima del promedio.",2
Jugador 20,Arquero,tardio,2026-I,15.7,Sub-17,1248,4.57,56.9,1695,72.9,49.6,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 20,Arquero,tardio,2026-II,16.2,Sub-17,1367,4.46,54.7,1810,73.3,51.5,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 21,Lateral,estable,2024-I,14.7,Sub-15,822,4.28,47.3,1356,76.9,48.6,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 21,Lateral,estable,2024-II,15.2,Sub-15,1083,4.29,48.9,1481,79.0,48.6,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 21,Lateral,estable,2025-I,15.7,Sub-17,1196,4.22,49.8,1478,79.2,47.5,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 21,Lateral,estable,2025-II,16.2,Sub-17,1203,4.21,51.4,1498,79.7,49.6,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 21,Lateral,estable,2026-I,16.7,Sub-17,1393,4.23,53.6,1615,78.6,48.5,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 21,Lateral,estable,2026-II,17.2,Sub-17,1120,4.2,52.8,1611,77.4,48.9,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 22,Delantero,progresa,2024-I,17.8,Sub-20,708,4.7,36.8,1276,67.0,38.2,Salto físico notable este semestre.,1
Jugador 22,Delantero,progresa,2024-II,18.3,Sub-20,943,4.64,41.1,1334,69.7,37.0,"Líder del grupo, rendimiento estable.",1
Jugador 22,Delantero,progresa,2025-I,18.8,Sub-20,1131,4.59,41.7,1400,72.6,36.2,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 22,Delantero,progresa,2025-II,19.3,Sub-20,1257,4.56,41.6,1467,69.7,40.1,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 22,Delantero,progresa,2026-I,19.8,Sub-20,1609,4.6,42.8,1519,71.8,42.1,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 22,Delantero,progresa,2026-II,20.3,Sub-20,1118,4.57,46.3,1615,71.8,39.0,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 23,Lateral,estable,2024-I,16.0,Sub-17,804,4.84,50.8,1305,80.1,53.3,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 23,Lateral,estable,2024-II,16.5,Sub-17,751,4.86,51.6,1422,78.8,56.7,Listo para minutos en categoría superior.,1
Jugador 23,Lateral,estable,2025-I,17.0,Sub-17,577,4.86,52.0,1467,78.9,55.8,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 23,Lateral,estable,2025-II,17.5,Sub-17,859,4.88,54.0,1480,81.2,60.8,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 23,Lateral,estable,2026-I,18.0,Sub-20,1040,4.93,55.3,1562,78.7,56.6,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 23,Lateral,estable,2026-II,18.5,Sub-20,960,4.8,56.2,1583,78.6,55.7,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 24,Volante,tardio,2024-I,14.4,Sub-15,1065,4.63,48.1,1613,72.5,47.4,Salto físico notable este semestre.,1
Jugador 24,Volante,tardio,2024-II,14.9,Sub-15,988,4.63,49.0,1635,71.0,47.4,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 24,Volante,tardio,2025-I,15.4,Sub-15,627,4.64,50.0,1747,72.5,47.6,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 24,Volante,tardio,2025-II,15.9,Sub-17,1076,4.63,51.1,1874,76.0,49.3,Listo para minutos en categoría superior.,1
Jugador 24,Volante,tardio,2026-I,16.4,Sub-17,1113,4.64,50.6,1789,74.9,47.9,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 24,Volante,tardio,2026-II,16.9,Sub-17,1096,4.69,51.4,1881,75.0,50.3,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 25,Volante,progresa,2024-I,15.7,Sub-17,916,4.66,45.0,1324,70.8,52.6,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 25,Volante,progresa,2024-II,16.2,Sub-17,504,4.64,47.0,1457,72.1,50.8,"Líder del grupo, rendimiento estable.",2
Jugador 25,Volante,progresa,2025-I,16.7,Sub-17,955,4.56,48.1,1514,73.3,52.0,"Buena actitud, mejorar toma de decisiones en último tercio.",2
Jugador 25,Volante,progresa,2025-II,17.2,Sub-17,1157,4.65,49.3,1661,76.2,54.1,"Irregular en entrenos, talento por encima del promedio.",2
Jugador 25,Volante,progresa,2026-I,17.7,Sub-20,1087,4.59,52.1,1646,76.0,52.3,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 25,Volante,progresa,2026-II,18.2,Sub-20,1119,4.5,51.9,1776,77.7,55.3,Salto físico notable este semestre.,2
Jugador 26,Arquero,tardio,2024-I,16.5,Sub-17,617,4.64,55.1,1602,64.7,45.8,"Líder del grupo, rendimiento estable.",2
Jugador 26,Arquero,tardio,2024-II,17.0,Sub-17,845,4.65,54.5,1659,67.7,46.9,"Buena actitud, mejorar toma de decisiones en último tercio.",2
Jugador 26,Arquero,tardio,2025-I,17.5,Sub-20,1158,4.71,57.3,1729,65.4,45.2,"Irregular en entrenos, talento por encima del promedio.",2
Jugador 26,Arquero,tardio,2025-II,18.0,Sub-20,901,4.68,56.7,1721,69.4,46.7,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 26,Arquero,tardio,2026-I,18.5,Sub-20,1039,4.67,59.2,1827,65.1,45.0,Listo para minutos en categoría superior.,2
Jugador 26,Arquero,tardio,2026-II,19.0,Sub-20,853,4.62,60.5,1849,67.0,49.4,Salto físico notable este semestre.,2
Jugador 27,Arquero,estable,2024-I,15.1,Sub-15,729,4.73,42.5,1528,74.0,56.7,"Irregular en entrenos, talento por encima del promedio.",4
Jugador 27,Arquero,estable,2024-II,15.6,Sub-17,846,4.7,44.2,1497,76.6,55.2,"Buena actitud, mejorar toma de decisiones en último tercio.",4
Jugador 27,Arquero,estable,2025-I,16.1,Sub-17,770,4.71,45.0,1563,75.7,56.5,"Dificultades con la carga, revisar con fisioterapia.",4
Jugador 27,Arquero,estable,2025-II,16.6,Sub-17,1152,4.69,43.8,1506,73.6,57.4,"Irregular en entrenos, talento por encima del promedio.",4
Jugador 27,Arquero,estable,2026-I,17.1,Sub-17,1113,4.69,48.0,1639,75.4,54.8,"Irregular en entrenos, talento por encima del promedio.",4
Jugador 27,Arquero,estable,2026-II,17.6,Sub-20,918,4.67,46.6,1644,77.6,52.7,Salto físico notable este semestre.,4
Jugador 28,Volante,estancado,2024-I,16.6,Sub-17,928,4.61,36.3,1830,72.8,54.2,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 28,Volante,estancado,2024-II,17.1,Sub-17,593,4.77,39.2,1838,70.1,50.8,Listo para minutos en categoría superior.,2
Jugador 28,Volante,estancado,2025-I,17.6,Sub-20,958,4.82,38.4,1903,70.4,51.3,"Irregular en entrenos, talento por encima del promedio.",2
Jugador 28,Volante,estancado,2025-II,18.1,Sub-20,529,4.7,38.3,1904,69.7,52.9,Listo para minutos en categoría superior.,2
Jugador 28,Volante,estancado,2026-I,18.6,Sub-20,566,4.66,38.4,1856,67.0,49.9,Salto físico notable este semestre.,2
Jugador 28,Volante,estancado,2026-II,19.1,Sub-20,321,4.65,37.0,1908,68.5,54.3,"Líder del grupo, rendimiento estable.",2
Jugador 29,Extremo,tardio,2024-I,15.3,Sub-15,928,4.8,42.3,1390,68.1,51.0,"Líder del grupo, rendimiento estable.",1
Jugador 29,Extremo,tardio,2024-II,15.8,Sub-17,1015,4.86,42.6,1411,68.3,51.5,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 29,Extremo,tardio,2025-I,16.3,Sub-17,882,4.86,47.1,1391,71.3,50.9,Listo para minutos en categoría superior.,1
Jugador 29,Extremo,tardio,2025-II,16.8,Sub-17,1136,4.86,47.6,1539,67.1,53.9,Listo para minutos en categoría superior.,1
Jugador 29,Extremo,tardio,2026-I,17.3,Sub-17,539,4.91,48.4,1661,67.8,55.4,"Buena actitud, mejorar toma de decisiones en último tercio.",1
Jugador 29,Extremo,tardio,2026-II,17.8,Sub-20,1310,4.84,48.8,1595,69.1,50.2,"Dificultades con la carga, revisar con fisioterapia.",1
Jugador 30,Arquero,estancado,2024-I,15.8,Sub-17,830,4.93,50.2,1579,78.5,45.5,"Buena actitud, mejorar toma de decisiones en último tercio.",3
Jugador 30,Arquero,estancado,2024-II,16.3,Sub-17,707,4.9,50.9,1561,78.0,47.0,Listo para minutos en categoría superior.,3
Jugador 30,Arquero,estancado,2025-I,16.8,Sub-17,1220,4.9,51.4,1651,78.4,45.6,Listo para minutos en categoría superior.,3
Jugador 30,Arquero,estancado,2025-II,17.3,Sub-17,797,4.91,51.9,1622,76.2,43.2,"Buena actitud, mejorar toma de decisiones en último tercio.",3
Jugador 30,Arquero,estancado,2026-I,17.8,Sub-20,443,4.88,51.8,1659,78.2,41.3,Listo para minutos en categoría superior.,3
Jugador 30,Arquero,estancado,2026-II,18.3,Sub-20,481,4.91,54.8,1705,76.6,45.1,"Líder del grupo, rendimiento estable.",3
Jugador 31,Lateral,progresa,2024-I,14.6,Sub-15,845,4.81,40.3,1642,74.4,50.7,Salto físico notable este semestre.,1
Jugador 31,Lateral,progresa,2024-II,15.1,Sub-15,1606,4.79,41.6,1633,72.3,53.3,Salto físico notable este semestre.,1
Jugador 31,Lateral,progresa,2025-I,15.6,Sub-17,1351,4.79,41.8,1771,74.1,51.3,Salto físico notable este semestre.,1
Jugador 31,Lateral,progresa,2025-II,16.1,Sub-17,1463,4.8,43.8,1825,76.0,52.6,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 31,Lateral,progresa,2026-I,16.6,Sub-17,1800,4.78,45.9,1930,75.5,52.1,Listo para minutos en categoría superior.,1
Jugador 31,Lateral,progresa,2026-II,17.1,Sub-17,1291,4.71,47.0,2043,76.9,53.9,Salto físico notable este semestre.,1
Jugador 32,Extremo,estable,2024-I,17.8,Sub-20,1175,4.89,44.2,1774,89.1,41.7,"Irregular en entrenos, talento por encima del promedio.",1
Jugador 32,Extremo,estable,2024-II,18.3,Sub-20,815,4.78,44.0,1783,87.9,43.5,"Buena actitud, mejorar toma de decisiones en último tercio.",1
